job_key,action_type_key,context_key,payable_type_key,amount,currency
modularjobs:miner,modularjobs:block_break,minecraft:lapis_ore,modularjobs:economy,7,
modularjobs:miner,modularjobs:block_break,minecraft:deepslate_lapis_ore,modularjobs:experience,25,
modularjobs:miner,modularjobs:block_break,minecraft:deepslate_lapis_ore,modularjobs:economy,9,
modularjobs:miner,modularjobs:block_break,minecraft:diamond_ore,modularjobs:experience,50,
modularjobs:miner,modularjobs:block_break,minecraft:diamond_ore,modularjobs:economy,25,
modularjobs:miner,modularjobs:block_break,minecraft:deepslate_diamond_ore,modularjobs:experience,60,
modularjobs:miner,modularjobs:block_break,minecraft:deepslate_diamond_ore,modularjobs:economy,30,
modularjobs:miner,modularjobs:block_break,minecraft:emerald_ore,modularjobs:experience,75,
modularjobs:miner,modularjobs:block_break,minecraft:emerald_ore,modularjobs:economy,40,
modularjobs:miner,modularjobs:block_break,minecraft:deepslate_emerald_ore,modularjobs:experience,90,
modularjobs:miner,modularjobs:block_break,minecraft:deepslate_emerald_ore,modularjobs:economy,50,
modularjobs:miner,modularjobs:block_break,minecraft:nether_quartz_ore,modularjobs:experience,12,
modularjobs:miner,modularjobs:block_break,minecraft:nether_quartz_ore,modularjobs:economy,4,
modularjobs:miner,modularjobs:block_break,minecraft:ancient_debris,modularjobs:experience,150,
modularjobs:miner,modularjobs:block_break,minecraft:ancient_debris,modularjobs:economy,100,
modularjobs:miner,modularjobs:block_break,minecraft:obsidian,modularjobs:experience,25,
modularjobs:miner,modularjobs:block_break,minecraft:obsidian,modularjobs:economy,10,
modularjobs:miner,modularjobs:block_break,minecraft:crying_obsidian,modularjobs:experience,30,
modularjobs:miner,modularjobs:block_break,minecraft:crying_obsidian,modularjobs:economy,15,
modularjobs:miner,modularjobs:block_break,minecraft:glowstone,modularjobs:experience,8,
modularjobs:miner,modularjobs:block_break,minecraft:glowstone,modularjobs:economy,3,
modularjobs:miner,modularjobs:block_break,minecraft:netherrack,modularjobs:experience,1,
modularjobs:miner,modularjobs:block_break,minecraft:netherrack,modularjobs:economy,0.05,
modularjobs:miner,modularjobs:block_break,minecraft:basalt,modularjobs:experience,2,
modularjobs:miner,modularjobs:block_break,minecraft:basalt,modularjobs:economy,0.15,
modularjobs:miner,modularjobs:block_break,minecraft:blackstone,modularjobs:experience,3,
modularjobs:miner,modularjobs:block_break,minecraft:blackstone,modularjobs:economy,0.2,
modularjobs:miner,modularjobs:block_break,minecraft:end_stone,modularjobs:experience,5,
modularjobs:miner,modularjobs:block_break,minecraft:end_stone,modularjobs:economy,1,
modularjobs:miner,modularjobs:block_break,minecraft:amethyst_block,modularjobs:experience,10,
modularjobs:miner,modularjobs:block_break,minecraft:amethyst_block,modularjobs:economy,3,
modularjobs:miner,modularjobs:block_break,minecraft:budding_amethyst,modularjobs:experience,20,
modularjobs:miner,modularjobs:block_break,minecraft:budding_amethyst,modularjobs:economy,8,

modularjobs:lumberjack,modularjobs:block_break,minecraft:oak_log,modularjobs:experience,2,
modularjobs:lumberjack,modularjobs:block_break,minecraft:oak_log,modularjobs:economy,0.2,
modularjobs:lumberjack,modularjobs:block_break,minecraft:spruce_log,modularjobs:experience,2,
modularjobs:lumberjack,modularjobs:block_break,minecraft:spruce_log,modularjobs:economy,0.2,
modularjobs:lumberjack,modularjobs:block_break,minecraft:birch_log,modularjobs:experience,2,
modularjobs:lumberjack,modularjobs:block_break,minecraft:birch_log,modularjobs:economy,0.2,
modularjobs:lumberjack,modularjobs:block_break,minecraft:jungle_log,modularjobs:experience,2,
modularjobs:lumberjack,modularjobs:block_break,minecraft:jungle_log,modularjobs:economy,0.2,
modularjobs:lumberjack,modularjobs:block_break,minecraft:acacia_log,modularjobs:experience,2,
modularjobs:lumberjack,modularjobs:block_break,minecraft:acacia_log,modularjobs:economy,0.2,
modularjobs:lumberjack,modularjobs:block_break,minecraft:dark_oak_log,modularjobs:experience,2,
modularjobs:lumberjack,modularjobs:block_break,minecraft:dark_oak_log,modularjobs:economy,0.2,
modularjobs:lumberjack,modularjobs:block_break,minecraft:mangrove_log,modularjobs:experience,2,
modularjobs:lumberjack,modularjobs:block_break,minecraft:mangrove_log,modularjobs:economy,0.2,
modularjobs:lumberjack,modularjobs:block_break,minecraft:cherry_log,modularjobs:experience,2,
modularjobs:lumberjack,modularjobs:block_break,minecraft:cherry_log,modularjobs:economy,0.2,
modularjobs:lumberjack,modularjobs:block_break,minecraft:crimson_stem,modularjobs:experience,3,
modularjobs:lumberjack,modularjobs:block_break,minecraft:crimson_stem,modularjobs:economy,0.5,
modularjobs:lumberjack,modularjobs:block_break,minecraft:warped_stem,modularjobs:experience,3,
modularjobs:lumberjack,modularjobs:block_break,minecraft:warped_stem,modularjobs:economy,0.5,
modularjobs:lumberjack,modularjobs:strip_log,minecraft:oak_log,modularjobs:experience,2,
modularjobs:lumberjack,modularjobs:strip_log,minecraft:oak_log,modularjobs:economy,0.2,
modularjobs:lumberjack,modularjobs:strip_log,minecraft:spruce_log,modularjobs:experience,2,
modularjobs:lumberjack,modularjobs:strip_log,minecraft:spruce_log,modularjobs:economy,0.2,
modularjobs:lumberjack,modularjobs:strip_log,minecraft:birch_log,modularjobs:experience,2,
modularjobs:lumberjack,modularjobs:strip_log,minecraft:birch_log,modularjobs:economy,0.2,
modularjobs:lumberjack,modularjobs:strip_log,minecraft:jungle_log,modularjobs:experience,2,
modularjobs:lumberjack,modularjobs:strip_log,minecraft:jungle_log,modularjobs:economy,0.2,
modularjobs:lumberjack,modularjobs:strip_log,minecraft:acacia_log,modularjobs:experience,2,
modularjobs:lumberjack,modularjobs:strip_log,minecraft:acacia_log,modularjobs:economy,0.2,
modularjobs:lumberjack,modularjobs:strip_log,minecraft:dark_oak_log,modularjobs:experience,2,
modularjobs:lumberjack,modularjobs:strip_log,minecraft:dark_oak_log,modularjobs:economy,0.2,
modularjobs:lumberjack,modularjobs:strip_log,minecraft:mangrove_log,modularjobs:experience,2,
modularjobs:lumberjack,modularjobs:strip_log,minecraft:mangrove_log,modularjobs:economy,0.2,
modularjobs:lumberjack,modularjobs:strip_log,minecraft:cherry_log,modularjobs:experience,2,
modularjobs:lumberjack,modularjobs:strip_log,minecraft:cherry_log,modularjobs:economy,0.2,
modularjobs:lumberjack,modularjobs:strip_log,minecraft:crimson_stem,modularjobs:experience,3,
modularjobs:lumberjack,modularjobs:strip_log,minecraft:crimson_stem,modularjobs:economy,0.5,
modularjobs:lumberjack,modularjobs:strip_log,minecraft:warped_stem,modularjobs:experience,3,
modularjobs:lumberjack,modularjobs:strip_log,minecraft:warped_stem,modularjobs:economy,0.5,
modularjobs:farmer,modularjobs:block_break,minecraft:wheat,modularjobs:experience,1,
modularjobs:farmer,modularjobs:block_break,minecraft:wheat,modularjobs:economy,0.1,
modularjobs:farmer,modularjobs:block_break,minecraft:carrots,modularjobs:experience,1,
modularjobs:farmer,modularjobs:block_break,minecraft:carrots,modularjobs:economy,0.1,
modularjobs:farmer,modularjobs:block_break,minecraft:potatoes,modularjobs:experience,1,
modularjobs:farmer,modularjobs:block_break,minecraft:potatoes,modularjobs:economy,0.1,
modularjobs:farmer,modularjobs:block_break,minecraft:beetroots,modularjobs:experience,1,
modularjobs:farmer,modularjobs:block_break,minecraft:beetroots,modularjobs:economy,0.1,
modularjobs:farmer,modularjobs:block_break,minecraft:melon,modularjobs:experience,2,
modularjobs:farmer,modularjobs:block_break,minecraft:melon,modularjobs:economy,0.2,
modularjobs:farmer,modularjobs:block_break,minecraft:pumpkin,modularjobs:experience,2,
modularjobs:farmer,modularjobs:block_break,minecraft:pumpkin,modularjobs:economy,0.2,
modularjobs:farmer,modularjobs:block_break,minecraft:sugar_cane,modularjobs:experience,1,
modularjobs:farmer,modularjobs:block_break,minecraft:sugar_cane,modularjobs:economy,0.1,
modularjobs:farmer,modularjobs:block_break,minecraft:cactus,modularjobs:experience,1,
modularjobs:farmer,modularjobs:block_break,minecraft:cactus,modularjobs:economy,0.1,
modularjobs:farmer,modularjobs:block_break,minecraft:nether_wart,modularjobs:experience,2,
modularjobs:farmer,modularjobs:block_break,minecraft:nether_wart,modularjobs:economy,0.2,
modularjobs:farmer,modularjobs:collect,minecraft:sweet_berries,modularjobs:experience,1,
modularjobs:farmer,modularjobs:collect,minecraft:sweet_berries,modularjobs:economy,0.1,
modularjobs:farmer,modularjobs:collect,minecraft:glow_berries,modularjobs:experience,1,
modularjobs:farmer,modularjobs:collect,minecraft:glow_berries,modularjobs:economy,0.1,
modularjobs:farmer,modularjobs:collect,minecraft:cocoa_beans,modularjobs:experience,2,
modularjobs:farmer,modularjobs:collect,minecraft:cocoa_beans,modularjobs:economy,0.2,
modularjobs:farmer,modularjobs:breed,minecraft:cow,modularjobs:experience,5,
modularjobs:farmer,modularjobs:breed,minecraft:cow,modularjobs:economy,1,
modularjobs:farmer,modularjobs:breed,minecraft:pig,modularjobs:experience,5,
modularjobs:farmer,modularjobs:breed,minecraft:pig,modularjobs:economy,1,
modularjobs:farmer,modularjobs:breed,minecraft:sheep,modularjobs:experience,5,
modularjobs:farmer,modularjobs:breed,minecraft:sheep,modularjobs:economy,1,
modularjobs:farmer,modularjobs:breed,minecraft:chicken,modularjobs:experience,5,
modularjobs:farmer,modularjobs:breed,minecraft:chicken,modularjobs:economy,1,
modularjobs:farmer,modularjobs:breed,minecraft:rabbit,modularjobs:experience,5,
modularjobs:farmer,modularjobs:breed,minecraft:rabbit,modularjobs:economy,1,
modularjobs:farmer,modularjobs:breed,minecraft:goat,modularjobs:experience,5,
modularjobs:farmer,modularjobs:breed,minecraft:goat,modularjobs:economy,1,
modularjobs:farmer,modularjobs:shear,minecraft:white_wool,modularjobs:experience,2,
modularjobs:farmer,modularjobs:shear,minecraft:white_wool,modularjobs:economy,0.2,
modularjobs:farmer,modularjobs:shear,minecraft:red_mushroom,modularjobs:experience,2,
modularjobs:farmer,modularjobs:shear,minecraft:red_mushroom,modularjobs:economy,0.2,
modularjobs:farmer,modularjobs:shear,minecraft:brown_mushroom,modularjobs:experience,2,
modularjobs:farmer,modularjobs:shear,minecraft:brown_mushroom,modularjobs:economy,0.2,
modularjobs:farmer,modularjobs:milk,minecraft:cow,modularjobs:experience,2,
modularjobs:farmer,modularjobs:milk,minecraft:cow,modularjobs:economy,0.2,
modularjobs:farmer,modularjobs:milk,minecraft:goat,modularjobs:experience,2,
modularjobs:farmer,modularjobs:milk,minecraft:goat,modularjobs:economy,0.2,
modularjobs:farmer,modularjobs:milk,minecraft:mooshroom,modularjobs:experience,3,
modularjobs:farmer,modularjobs:milk,minecraft:mooshroom,modularjobs:economy,0.5,

modularjobs:herbalism,modularjobs:block_break,minecraft:short_grass,modularjobs:experience,1,
modularjobs:herbalism,modularjobs:block_break,minecraft:short_grass,modularjobs:economy,0.1,
modularjobs:herbalism,modularjobs:block_break,minecraft:fern,modularjobs:experience,1,
modularjobs:herbalism,modularjobs:block_break,minecraft:fern,modularjobs:economy,0.1,
modularjobs:herbalism,modularjobs:block_break,minecraft:dandelion,modularjobs:experience,1,
modularjobs:herbalism,modularjobs:block_break,minecraft:dandelion,modularjobs:economy,0.1,
modularjobs:herbalism,modularjobs:block_break,minecraft:poppy,modularjobs:experience,1,
modularjobs:herbalism,modularjobs:block_break,minecraft:poppy,modularjobs:economy,0.1,
modularjobs:herbalism,modularjobs:block_break,minecraft:brown_mushroom,modularjobs:experience,1,
modularjobs:herbalism,modularjobs:block_break,minecraft:brown_mushroom,modularjobs:economy,0.1,
modularjobs:herbalism,modularjobs:block_break,minecraft:red_mushroom,modularjobs:experience,1,
modularjobs:herbalism,modularjobs:block_break,minecraft:red_mushroom,modularjobs:economy,0.1,
modularjobs:herbalism,modularjobs:block_break,minecraft:tall_grass,modularjobs:experience,2,
modularjobs:herbalism,modularjobs:block_break,minecraft:tall_grass,modularjobs:economy,0.2,
modularjobs:herbalism,modularjobs:block_break,minecraft:large_fern,modularjobs:experience,2,
modularjobs:herbalism,modularjobs:block_break,minecraft:large_fern,modularjobs:economy,0.2,
modularjobs:herbalism,modularjobs:block_break,minecraft:azure_bluet,modularjobs:experience,2,
modularjobs:herbalism,modularjobs:block_break,minecraft:azure_bluet,modularjobs:economy,0.2,
modularjobs:herbalism,modularjobs:block_break,minecraft:red_tulip,modularjobs:experience,2,
modularjobs:herbalism,modularjobs:block_break,minecraft:red_tulip,modularjobs:economy,0.2,
modularjobs:herbalism,modularjobs:block_break,minecraft:orange_tulip,modularjobs:experience,2,
modularjobs:herbalism,modularjobs:block_break,minecraft:orange_tulip,modularjobs:economy,0.2,
modularjobs:herbalism,modularjobs:block_break,minecraft:white_tulip,modularjobs:experience,2,
modularjobs:herbalism,modularjobs:block_break,minecraft:white_tulip,modularjobs:economy,0.2,
modularjobs:herbalism,modularjobs:block_break,minecraft:pink_tulip,modularjobs:experience,2,
modularjobs:herbalism,modularjobs:block_break,minecraft:pink_tulip,modularjobs:economy,0.2,
modularjobs:herbalism,modularjobs:block_break,minecraft:lily_pad,modularjobs:experience,2,
modularjobs:herbalism,modularjobs:block_break,minecraft:lily_pad,modularjobs:economy,0.2,
modularjobs:herbalism,modularjobs:block_break,minecraft:seagrass,modularjobs:experience,2,
modularjobs:herbalism,modularjobs:block_break,minecraft:seagrass,modularjobs:economy,0.2,
modularjobs:herbalism,modularjobs:block_break,minecraft:kelp,modularjobs:experience,2,
modularjobs:herbalism,modularjobs:block_break,minecraft:kelp,modularjobs:economy,0.2,
modularjobs:herbalism,modularjobs:block_break,minecraft:blue_orchid,modularjobs:experience,3,
modularjobs:herbalism,modularjobs:block_break,minecraft:blue_orchid,modularjobs:economy,0.5,
modularjobs:herbalism,modularjobs:block_break,minecraft:allium,modularjobs:experience,3,
modularjobs:herbalism,modularjobs:block_break,minecraft:allium,modularjobs:economy,0.5,
modularjobs:herbalism,modularjobs:block_break,minecraft:oxeye_daisy,modularjobs:experience,3,
modularjobs:herbalism,modularjobs:block_break,minecraft:oxeye_daisy,modularjobs:economy,0.5,
modularjobs:herbalism,modularjobs:block_break,minecraft:cornflower,modularjobs:experience,3,
modularjobs:herbalism,modularjobs:block_break,minecraft:cornflower,modularjobs:economy,0.5,
modularjobs:herbalism,modularjobs:block_break,minecraft:lily_of_the_valley,modularjobs:experience,3,
modularjobs:herbalism,modularjobs:block_break,minecraft:lily_of_the_valley,modularjobs:economy,0.5,
modularjobs:herbalism,modularjobs:block_break,minecraft:moss_block,modularjobs:experience,3,
modularjobs:herbalism,modularjobs:block_break,minecraft:moss_block,modularjobs:economy,0.5,
modularjobs:herbalism,modularjobs:block_break,minecraft:moss_carpet,modularjobs:experience,3,
modularjobs:herbalism,modularjobs:block_break,minecraft:moss_carpet,modularjobs:economy,0.5,
modularjobs:herbalism,modularjobs:block_break,minecraft:glow_lichen,modularjobs:experience,3,
modularjobs:herbalism,modularjobs:block_break,minecraft:glow_lichen,modularjobs:economy,0.5,
modularjobs:herbalism,modularjobs:block_break,minecraft:hanging_roots,modularjobs:experience,3,
modularjobs:herbalism,modularjobs:block_break,minecraft:hanging_roots,modularjobs:economy,0.5,
modularjobs:herbalism,modularjobs:block_break,minecraft:spore_blossom,modularjobs:experience,5,
modularjobs:herbalism,modularjobs:block_break,minecraft:spore_blossom,modularjobs:economy,1,
modularjobs:herbalism,modularjobs:block_break,minecraft:big_dripleaf,modularjobs:experience,5,
modularjobs:herbalism,modularjobs:block_break,minecraft:big_dripleaf,modularjobs:economy,1,
modularjobs:herbalism,modularjobs:block_break,minecraft:small_dripleaf,modularjobs:experience,5,
modularjobs:herbalism,modularjobs:block_break,minecraft:small_dripleaf,modularjobs:economy,1,
modularjobs:herbalism,modularjobs:block_break,minecraft:big_dripleaf_stem,modularjobs:experience,5,
modularjobs:herbalism,modularjobs:block_break,minecraft:big_dripleaf_stem,modularjobs:economy,1,
modularjobs:herbalism,modularjobs:block_break,minecraft:sea_pickle,modularjobs:experience,5,
modularjobs:herbalism,modularjobs:block_break,minecraft:sea_pickle,modularjobs:economy,1,
modularjobs:herbalism,modularjobs:block_break,minecraft:crimson_fungus,modularjobs:experience,5,
modularjobs:herbalism,modularjobs:block_break,minecraft:crimson_fungus,modularjobs:economy,1,
modularjobs:herbalism,modularjobs:block_break,minecraft:warped_fungus,modularjobs:experience,5,
modularjobs:herbalism,modularjobs:block_break,minecraft:warped_fungus,modularjobs:economy,1,
modularjobs:herbalism,modularjobs:block_break,minecraft:nether_sprouts,modularjobs:experience,5,
modularjobs:herbalism,modularjobs:block_break,minecraft:nether_sprouts,modularjobs:economy,1,
modularjobs:herbalism,modularjobs:block_break,minecraft:twisting_vines,modularjobs:experience,5,
modularjobs:herbalism,modularjobs:block_break,minecraft:twisting_vines,modularjobs:economy,1,
modularjobs:herbalism,modularjobs:block_break,minecraft:weeping_vines,modularjobs:experience,5,
modularjobs:herbalism,modularjobs:block_break,minecraft:weeping_vines,modularjobs:economy,1,
modularjobs:herbalism,modularjobs:block_break,minecraft:wither_rose,modularjobs:experience,8,
modularjobs:herbalism,modularjobs:block_break,minecraft:wither_rose,modularjobs:economy,3,
modularjobs:herbalism,modularjobs:block_break,minecraft:torchflower,modularjobs:experience,8,
modularjobs:herbalism,modularjobs:block_break,minecraft:torchflower,modularjobs:economy,3,
modularjobs:herbalism,modularjobs:block_break,minecraft:pink_petals,modularjobs:experience,8,
modularjobs:herbalism,modularjobs:block_break,minecraft:pink_petals,modularjobs:economy,3,
modularjobs:herbalism,modularjobs:block_break,minecraft:pitcher_plant,modularjobs:experience,8,
modularjobs:herbalism,modularjobs:block_break,minecraft:pitcher_plant,modularjobs:economy,3,
modularjobs:herbalism,modularjobs:block_break,minecraft:pitcher_crop,modularjobs:experience,8,
modularjobs:herbalism,modularjobs:block_break,minecraft:pitcher_crop,modularjobs:economy,3,

modularjobs:hunter,modularjobs:kill,minecraft:chicken,modularjobs:experience,2,
modularjobs:hunter,modularjobs:kill,minecraft:chicken,modularjobs:economy,0.2,
modularjobs:hunter,modularjobs:kill,minecraft:cow,modularjobs:experience,2,
modularjobs:hunter,modularjobs:kill,minecraft:cow,modularjobs:economy,0.2,
modularjobs:hunter,modularjobs:kill,minecraft:pig,modularjobs:experience,2,
modularjobs:hunter,modularjobs:kill,minecraft:pig,modularjobs:economy,0.2,
modularjobs:hunter,modularjobs:kill,minecraft:sheep,modularjobs:experience,2,
modularjobs:hunter,modularjobs:kill,minecraft:sheep,modularjobs:economy,0.2,
modularjobs:hunter,modularjobs:kill,minecraft:rabbit,modularjobs:experience,3,
modularjobs:hunter,modularjobs:kill,minecraft:rabbit,modularjobs:economy,0.5,
modularjobs:hunter,modularjobs:kill,minecraft:zombie,modularjobs:experience,5,
modularjobs:hunter,modularjobs:kill,minecraft:zombie,modularjobs:economy,1,
modularjobs:hunter,modularjobs:kill,minecraft:skeleton,modularjobs:experience,5,
modularjobs:hunter,modularjobs:kill,minecraft:skeleton,modularjobs:economy,1,
modularjobs:hunter,modularjobs:kill,minecraft:creeper,modularjobs:experience,7,
modularjobs:hunter,modularjobs:kill,minecraft:creeper,modularjobs:economy,1.5,
modularjobs:hunter,modularjobs:kill,minecraft:spider,modularjobs:experience,5,
modularjobs:hunter,modularjobs:kill,minecraft:spider,modularjobs:economy,1,
modularjobs:hunter,modularjobs:kill,minecraft:witch,modularjobs:experience,10,
modularjobs:hunter,modularjobs:kill,minecraft:witch,modularjobs:economy,3,
modularjobs:hunter,modularjobs:kill,minecraft:enderman,modularjobs:experience,10,
modularjobs:hunter,modularjobs:kill,minecraft:enderman,modularjobs:economy,3,
modularjobs:hunter,modularjobs:kill,minecraft:blaze,modularjobs:experience,10,
modularjobs:hunter,modularjobs:kill,minecraft:blaze,modularjobs:economy,3,
modularjobs:hunter,modularjobs:kill,minecraft:ghast,modularjobs:experience,20,
modularjobs:hunter,modularjobs:kill,minecraft:ghast,modularjobs:economy,8,
modularjobs:hunter,modularjobs:kill,minecraft:wither_skeleton,modularjobs:experience,20,
modularjobs:hunter,modularjobs:kill,minecraft:wither_skeleton,modularjobs:economy,8,
modularjobs:hunter,modularjobs:kill,minecraft:guardian,modularjobs:experience,20,
modularjobs:hunter,modularjobs:kill,minecraft:guardian,modularjobs:economy,8,
modularjobs:hunter,modularjobs:kill,minecraft:shulker,modularjobs:experience,20,
modularjobs:hunter,modularjobs:kill,minecraft:shulker,modularjobs:economy,8,
modularjobs:hunter,modularjobs:kill,minecraft:ender_dragon,modularjobs:experience,150,
modularjobs:hunter,modularjobs:kill,minecraft:ender_dragon,modularjobs:economy,100,
modularjobs:hunter,modularjobs:kill,minecraft:wither,modularjobs:experience,150,
modularjobs:hunter,modularjobs:kill,minecraft:wither,modularjobs:economy,100,
modularjobs:fisherman,modularjobs:fish,minecraft:cod,modularjobs:experience,2,
modularjobs:fisherman,modularjobs:fish,minecraft:cod,modularjobs:economy,0.2,
modularjobs:fisherman,modularjobs:fish,minecraft:salmon,modularjobs:experience,3,
modularjobs:fisherman,modularjobs:fish,minecraft:salmon,modularjobs:economy,0.5,
modularjobs:fisherman,modularjobs:fish,minecraft:pufferfish,modularjobs:experience,5,
modularjobs:fisherman,modularjobs:fish,minecraft:pufferfish,modularjobs:economy,1,
modularjobs:fisherman,modularjobs:fish,minecraft:tropical_fish,modularjobs:experience,5,
modularjobs:fisherman,modularjobs:fish,minecraft:tropical_fish,modularjobs:economy,1,
modularjobs:fisherman,modularjobs:fish,minecraft:nautilus_shell,modularjobs:experience,10,
modularjobs:fisherman,modularjobs:fish,minecraft:nautilus_shell,modularjobs:economy,3,
modularjobs:fisherman,modularjobs:fish,minecraft:enchanted_book,modularjobs:experience,20,
modularjobs:fisherman,modularjobs:fish,minecraft:enchanted_book,modularjobs:economy,8,
modularjobs:blacksmith,modularjobs:smelt,minecraft:iron_ingot,modularjobs:experience,2,
modularjobs:blacksmith,modularjobs:smelt,minecraft:iron_ingot,modularjobs:economy,0.2,
modularjobs:blacksmith,modularjobs:smelt,minecraft:copper_ingot,modularjobs:experience,2,
modularjobs:blacksmith,modularjobs:smelt,minecraft:copper_ingot,modularjobs:economy,0.2,
modularjobs:blacksmith,modularjobs:smelt,minecraft:gold_ingot,modularjobs:experience,5,
modularjobs:blacksmith,modularjobs:smelt,minecraft:gold_ingot,modularjobs:economy,1,
modularjobs:blacksmith,modularjobs:smelt,minecraft:netherite_scrap,modularjobs:experience,20,
modularjobs:blacksmith,modularjobs:smelt,minecraft:netherite_scrap,modularjobs:economy,8,
modularjobs:blacksmith,modularjobs:craft,minecraft:iron_pickaxe,modularjobs:experience,5,
modularjobs:blacksmith,modularjobs:craft,minecraft:iron_pickaxe,modularjobs:economy,1,
modularjobs:blacksmith,modularjobs:craft,minecraft:diamond_pickaxe,modularjobs:experience,20,
modularjobs:blacksmith,modularjobs:craft,minecraft:diamond_pickaxe,modularjobs:economy,8,
modularjobs:blacksmith,modularjobs:craft,minecraft:netherite_pickaxe,modularjobs:experience,50,
modularjobs:blacksmith,modularjobs:craft,minecraft:netherite_pickaxe,modularjobs:economy,25,
modularjobs:blacksmith,modularjobs:craft,minecraft:iron_sword,modularjobs:experience,5,
modularjobs:blacksmith,modularjobs:craft,minecraft:iron_sword,modularjobs:economy,1,
modularjobs:blacksmith,modularjobs:craft,minecraft:diamond_sword,modularjobs:experience,20,
modularjobs:blacksmith,modularjobs:craft,minecraft:diamond_sword,modularjobs:economy,8,
modularjobs:blacksmith,modularjobs:craft,minecraft:netherite_sword,modularjobs:experience,50,
modularjobs:blacksmith,modularjobs:craft,minecraft:netherite_sword,modularjobs:economy,25,
modularjobs:blacksmith,modularjobs:repair,minecraft:iron_pickaxe,modularjobs:experience,5,
modularjobs:blacksmith,modularjobs:repair,minecraft:iron_pickaxe,modularjobs:economy,1,
modularjobs:blacksmith,modularjobs:repair,minecraft:diamond_pickaxe,modularjobs:experience,20,
modularjobs:blacksmith,modularjobs:repair,minecraft:diamond_pickaxe,modularjobs:economy,8,
